nct_id,brief_title,sponsor_name,phases,has_results,overall_status,primary_completion_date,study_first_post_date,url,clean_primary_completion_date,is_phase4
NCT03235479,Safety and Efficacy Study in Adult Subjects With Acute Migraines,Pfizer,['PHASE3'],True,COMPLETED,2018-01-21,2017-08-01,https://clinicaltrials.gov/study/NCT03235479,2018-01-21,0
NCT02515279,An Observational Study of Peginterferon Alfa-2a Plus Ribavirin for Hepatitis C Virus (HCV) Infection in Austria,Hoffmann-La Roche,Unknown,True,COMPLETED,2014-12,2015-08-04,https://clinicaltrials.gov/study/NCT02515279,2014-12-01,0
NCT01294579,Ofatumumab and Bendamustine Followed by Maintenance Ofatumumab for Rituximab Relapsed Indolent B-cell Non-Hodgkin's Lymphoma (B-NHL),Novartis Pharmaceuticals,['PHASE2'],True,COMPLETED,2016-12-20,2011-02-11,https://clinicaltrials.gov/study/NCT01294579,2016-12-20,0
NCT05193279,Safety and Immunogenicity of SCB-2019 in Children <18 Years of Age,Clover Biopharmaceuticals AUS Pty Ltd,"['PHASE2', 'PHASE3']",False,WITHDRAWN,2022-12-15,2022-01-14,https://clinicaltrials.gov/study/NCT05193279,2022-12-15,0
NCT03284879,Post-Marketing Surveillance Study of OTEZLA,Amgen,Unknown,False,COMPLETED,2021-10-31,2017-09-15,https://clinicaltrials.gov/study/NCT03284879,2021-10-31,0
NCT03630679,"A Study Evaluating Sleep, Stress and Infant Nutrition Using a Chatbot","Danone Asia Pacific Holdings Pte, Ltd.",Unknown,True,COMPLETED,2019-03-01,2018-08-15,https://clinicaltrials.gov/study/NCT03630679,2019-03-01,0
NCT06368479,Diagnostic Sensitivity and Specificity of iStatis HBsAg Test at the Point-Of-Care Site Settings,bioLytical Laboratories,['NA'],False,ACTIVE_NOT_RECRUITING,2024-05-07,2024-04-16,https://clinicaltrials.gov/study/NCT06368479,2024-05-07,0
NCT06091579,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Treprostinil Palmitil Inhalation Powder (TPIP) in Healthy Participants",Insmed Incorporated,['PHASE1'],False,COMPLETED,2021-01-12,2023-10-19,https://clinicaltrials.gov/study/NCT06091579,2021-01-12,0
NCT06355479,A Study to Evaluate the Efficacy and Safety of OsrHSA in Patients of Hepatic Cirrhosis With Hypoalbuminemia,Healthgen Biotechnology Corp.,['PHASE3'],False,COMPLETED,2023-11-22,2024-04-09,https://clinicaltrials.gov/study/NCT06355479,2023-11-22,0
NCT03777579,A Study of First-line JS001 and Nab-paclitaxel Versus Palcelbo and Nab-Paclitaxel in Participants With Advanced Recurrent or Metastatic TNBC,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",['PHASE3'],False,SUSPENDED,2019-12-30,2018-12-17,https://clinicaltrials.gov/study/NCT03777579,2019-12-30,0
NCT06351579,Data Collection Post Radical Prostatectomy,"Levee Medical, Inc.",Unknown,False,NOT_YET_RECRUITING,2025-12-30,2024-04-08,https://clinicaltrials.gov/study/NCT06351579,2025-12-30,0
NCT06671379,"A Study of SHR-A2009 Versus Platinum-based Chemotherapy in EGFR-mutated, Advanced or Metastatic NSCLC","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",['PHASE3'],False,NOT_YET_RECRUITING,2026-12,2024-11-04,https://clinicaltrials.gov/study/NCT06671379,2026-12-01,0
NCT05433779,Evaluation of Intravascular Monitoring of Partial PRessure of Oxygen for Neonatal intensiVE Care Patients -2,Neosense Technologies,['NA'],False,TERMINATED,2023-06-16,2022-06-27,https://clinicaltrials.gov/study/NCT05433779,2023-06-16,0
NCT03565679,SpO2 Accuracy Comparison of Medline ReNewal Sensors to Arterial Blood CO-Oximetry,Medline Industries,['NA'],True,COMPLETED,2018-05-10,2018-06-21,https://clinicaltrials.gov/study/NCT03565679,2018-05-10,0
NCT05943379,RC48-ADC in Combination With Gemcitabine in High Risk NMIBC Subjects,"RemeGen Co., Ltd.",['PHASE2'],False,RECRUITING,2025-12-01,2023-07-13,https://clinicaltrials.gov/study/NCT05943379,2025-12-01,0
NCT06108479,Study of DF6215 in Patients With Advanced Solid Tumors,Dragonfly Therapeutics,['PHASE1'],False,RECRUITING,2025-09,2023-10-31,https://clinicaltrials.gov/study/NCT06108479,2025-09-01,0
NCT06101979,A Prospective Study of Fortiva in Hernia Repair,RTI Surgical,Unknown,False,ENROLLING_BY_INVITATION,2027-12,2023-10-26,https://clinicaltrials.gov/study/NCT06101979,2027-12-01,0
NCT04861779,A Study of HSK29116 in Adults With Relapsed/Refractory B-cell Malignancies,"Haisco Pharmaceutical Group Co., Ltd.",['PHASE1'],False,UNKNOWN,2023-08,2021-04-27,https://clinicaltrials.gov/study/NCT04861779,2023-08-01,0
NCT01756079,A Study to Evaluate the Efficacy and Safety of Boceprevir Added to Standard of Care Therapy in Previously Treated Participants With Chronic Hepatitis C Genotype 1 and Cirrhosis (MK-3034-105),Merck Sharp & Dohme LLC,['PHASE4'],True,COMPLETED,2015-11-17,2012-12-24,https://clinicaltrials.gov/study/NCT01756079,2015-11-17,1
NCT03434379,A Study of Atezolizumab in Combination With Bevacizumab Compared With Sorafenib in Patients With Untreated Locally Advanced or Metastatic Hepatocellular Carcinoma,Hoffmann-La Roche,['PHASE3'],True,COMPLETED,2020-08-31,2018-02-15,https://clinicaltrials.gov/study/NCT03434379,2020-08-31,0
NCT02870179,Oxitone Sp02 Hypoxia Test Versus Reference Pulse Oximetry,Oxitone Medical Ltd.,Unknown,False,COMPLETED,2016-09,2016-08-17,https://clinicaltrials.gov/study/NCT02870179,2016-09-01,0
NCT05409079,Schulze Muscular Dystrophy Ability Clinical Study,AbiliTech Medical Inc.,['NA'],False,RECRUITING,2023-06-30,2022-06-08,https://clinicaltrials.gov/study/NCT05409079,2023-06-30,0
NCT02408679,Predictive Questionnaire for Vitamin D Insufficiency in Healthy Adults,Lesieur,Unknown,False,COMPLETED,2015-02,2015-04-03,https://clinicaltrials.gov/study/NCT02408679,2015-02-01,0
NCT01606579,Safety and Efficacy Study of PRI-724 in Subjects With Advanced Myeloid Malignancies,"Prism Pharma Co., Ltd.","['PHASE1', 'PHASE2']",False,COMPLETED,2016-12-30,2012-05-25,https://clinicaltrials.gov/study/NCT01606579,2016-12-30,0
NCT03806179,Study of Safety and Efficacy of Betalutin and Rituximab in Patients With FL,Nordic Nanovector,['PHASE1'],True,COMPLETED,2022-08-08,2019-01-16,https://clinicaltrials.gov/study/NCT03806179,2022-08-08,0
NCT04722679,A Study to Collect Information on the Characteristics of Elderly Belgian Patients With NVAF That Are Treated With a NOAC for This Indication With a Special Focus on Their Fear of Bleeding While Using a NOAC vs the Clinical Benefit of a NOAC of Thrombosis/Stroke Prevention.,Bayer,Unknown,False,COMPLETED,2021-12-31,2021-01-25,https://clinicaltrials.gov/study/NCT04722679,2021-12-31,0
NCT05002179,Echinaforce Study to Investigate Explorative Pharmacology and Effectiveness to Prevent From Enveloped Virus Infections,A. Vogel AG,['PHASE4'],False,COMPLETED,2021-05-29,2021-08-12,https://clinicaltrials.gov/study/NCT05002179,2021-05-29,1
NCT05796479,A PK Comparability Study of Two Different Amlitelimab Drug Products in Healthy Participants,Sanofi,['PHASE1'],False,COMPLETED,2023-05-22,2023-04-03,https://clinicaltrials.gov/study/NCT05796479,2023-05-22,0
NCT04287179,SUSTAIN SWITCH: A Research Study to Compare Two Dose Schedules of Semaglutide Taken Once Weekly in People With Type 2 Diabetes,Novo Nordisk A/S,['PHASE3'],False,WITHDRAWN,2020-11-16,2020-02-27,https://clinicaltrials.gov/study/NCT04287179,2020-11-16,0
NCT05585879,Demonstrating Effective Salvage of Inadequate Colonoscopies,Motus GI Medical Technologies Ltd,['NA'],False,TERMINATED,2024-04-26,2022-10-19,https://clinicaltrials.gov/study/NCT05585879,2024-04-26,0
NCT03131479,"Study of PK/PD, Safety and Tolerability of LIK066 in Patients With Decreased Renal Function.",Novartis Pharmaceuticals,['PHASE2'],True,COMPLETED,2018-01-16,2017-04-27,https://clinicaltrials.gov/study/NCT03131479,2018-01-16,0
NCT06166979,Colonisation of Scalp by Topical Probiotic Micrococcus Luteus Q24,BLIS Technologies Limited,['NA'],False,NOT_YET_RECRUITING,2024-02-25,2023-12-12,https://clinicaltrials.gov/study/NCT06166979,2024-02-25,0
NCT02738879,Randomized Sitagliptin Withdrawal Study (MK-0431-845),Merck Sharp & Dohme LLC,['PHASE3'],True,COMPLETED,2018-01-22,2016-04-14,https://clinicaltrials.gov/study/NCT02738879,2018-01-22,0
