fda_Sponsor,fda_ApplicationNumber,fda_SubmissionDates,fda_BrandNames,fda_GenericNames,fda_Substances,ct_Sponsor,ct_NCTId,ct_LastUpdateDate,ct_Phases,ct_InterventionName,ct_OtherNames
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT03767738,2021-09-16,PHASE4,Intravitreal Aflibercept Injection (IAI),"Aflibercept, EYLEA®"
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT04126317,2023-08-14,PHASE2,aflibercept,"EYLEA®, BAY86-5321"
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT00794417,2020-12-10,"PHASE1, PHASE2",Aflibercept,
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT04101721,2023-07-20,PHASE3,aflibercept,"EYLEA®, REGN3, VEGF trap-eye, BAY86-5321"
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT04429503,2024-07-30,"PHASE2, PHASE3",aflibercept,"EYLEA®, BAY86-5321"
REGENERON PHARMACEUTICALS,BLA125387,20111118,,['AFLIBERCEPT'],[],Regeneron Pharmaceuticals,NCT00320775,2015-03-18,PHASE1,VEGF Trap,Aflibercept
ABBVIE,NDA209512,20170629,,['RITONAVIR'],[],AbbVie,NCT00850044,2017-11-20,PHASE1,ritonavir,"ABT-538, Norvir"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT02691494,2021-07-13,PHASE3,Elagolix,"ABT-620, elagolix sodium"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT03886220,2022-03-31,PHASE4,Elagolix,"ABT-620, elagolix sodium, Orilissa"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT03213457,2023-12-20,PHASE3,Elagolix,"ABT-620, Elagolix Sodium, ORILISSA"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT01817530,2020-07-21,PHASE2,Elagolix,ABT-620
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT00797225,2018-09-10,PHASE2,Elagolix,"NBI-56418, Orilissa™"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT00437658,2018-10-12,PHASE2,Elagolix,"NBI-56418, Orilissa™"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT03951077,2022-06-08,PHASE2,Elagolix,Orilissa
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT02654054,2020-06-29,PHASE3,Elagolix,"ABT-620, elagolix sodium"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT03343067,2019-11-27,PHASE3,elagolix,
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT03271489,2024-07-19,PHASE3,Elagolix,ABT-620 Elagolix sodium
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT02925494,2021-07-13,PHASE3,Elagolix,"ABT-620, elagolix sodium"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT04333576,2024-11-26,PHASE3,Elagolix,"ABT-620, Orilissa"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT00973973,2018-09-26,PHASE2,Elagolix,"NBI-56418, Orilissa™"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT00619866,2018-09-07,PHASE2,Elagolix,"NBI-56418, Orilissa™"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT02143713,2021-07-13,PHASE3,Elagolix,Orilissa™
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT01931670,2018-09-07,PHASE3,Elagolix,"ABT-620, elagolix sodium"
ABBVIE,NDA210450,20180723,,['ELAGOLIX'],[],AbbVie,NCT01760954,2021-07-13,PHASE3,Elagolix,Orilissa™
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01465802,2019-01-09,PHASE2,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01465802,2019-01-09,PHASE2,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT02097433,2014-10-03,PHASE1,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT04511533,2024-04-05,PHASE4,Dacomitinib,DACOPLICE
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01774721,2023-11-14,PHASE3,Dacomitinib (PF-00299804),Dacomitinib
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT03865446,2020-11-06,PHASE1,Dacomitinib,PF-00299804; VIZIMPRO
