sponsor_name,count
Hoffmann-La Roche,28
AstraZeneca,27
GlaxoSmithKline,23
Novartis Pharmaceuticals,22
Eli Lilly and Company,16
Pfizer,15
Novo Nordisk A/S,13
Merck Sharp & Dohme LLC,12
Sanofi,11
Bristol-Myers Squibb,11
Boehringer Ingelheim,10
Bayer,8
"Janssen Research & Development, LLC",8
Takeda,7
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",7
AbbVie,7
Abbott Medical Devices,6
Alcon Research,6
Gilead Sciences,6
Amgen,5
Ipsen,5
Celgene,4
"Genzyme, a Sanofi Company",4
"Jiangsu HengRui Medicine Co., Ltd.",4
"Alexion Pharmaceuticals, Inc.",4
Chong Kun Dang Pharmaceutical,4
Organon and Co,4
Shire,4
Astellas Pharma Europe B.V.,3
Hanmi Pharmaceutical Company Limited,3
ALK-Abelló A/S,3
"Melinta Therapeutics, Inc.",3
Baxalta now part of Shire,3
Teva Pharmaceuticals USA,3
"Sanofi Pasteur, a Sanofi Company",3
Bausch & Lomb Incorporated,3
Daiichi Sankyo,3
Regeneron Pharmaceuticals,3
"International Partnership for Microbicides, Inc.",3
"Genentech, Inc.",3
"Sumitomo Pharma America, Inc.",3
Santhera Pharmaceuticals,3
Boston Scientific Corporation,3
MedImmune LLC,3
Octapharma,2
Eisai Inc.,2
Novartis,2
"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",2
Allergan,2
Intech Biopharm Ltd.,2
Idorsia Pharmaceuticals Ltd.,2
"Tonix Pharmaceuticals, Inc.",2
Abiomed Inc.,2
Zimmer Biomet,2
Jazz Pharmaceuticals,2
Eurofarma Laboratorios S.A.,2
UCB Pharma,2
LEO Pharma,2
Masimo Corporation,2
Acorda Therapeutics,2
Wyeth is now a wholly owned subsidiary of Pfizer,2
Astellas Pharma Inc,2
Stereotaxis,2
W.L.Gore & Associates,2
Egymedicalpedia,2
Exelixis,2
ResMed,2
Helsinn Healthcare SA,2
"Taiho Oncology, Inc.",2
Xian-Janssen Pharmaceutical Ltd.,2
"Changchun GeneScience Pharmaceutical Co., Ltd.",2
Actelion,2
Biogen,2
Ranbaxy Laboratories Limited,2
"Merck KGaA, Darmstadt, Germany",2
Solvay Pharmaceuticals,2
"Kyowa Kirin Co., Ltd.",2
Pharmacosmos A/S,2
Upstream Bio Inc.,2
Taro Pharmaceuticals USA,2
Ferring Pharmaceuticals,2
Jiangsu Pacific Meinuoke Bio Pharmaceutical Co Ltd,2
Baxter Healthcare Corporation,2
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,2
Seagen Inc.,2
Coloplast A/S,2
Taryag Medical Ltd.,2
Vertex Pharmaceuticals Incorporated,2
"Klein Buendel, Inc.",1
Vesa Juutilainen,1
"Immune Design, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1
MedtronicNeuro,1
novoGI,1
Forest Hills Lab,1
Enzymotec,1
TCM Biotech International Corp.,1
A2A Pharmaceuticals Inc.,1
InSightec,1
Quantum Genomics SA,1
Novoic Limited,1
"RemeGen Co., Ltd.",1
"SurgiQuest, Inc.",1
Guerbet,1
EndoCeutics Inc.,1
"Kartos Therapeutics, Inc.",1
"Spinal Restoration, Inc.",1
Oystershell NV,1
"Allife Medical Science and Technology Co., Ltd.",1
"Medco Health Solutions, Inc.",1
"Axonics, Inc.",1
"Asklepion Pharmaceuticals, LLC",1
Mauna Kea Technologies,1
BTL Industries Ltd.,1
"Shenyang Sunshine Pharmaceutical Co., LTD.",1
"Applied Biology, Inc.",1
HoloCare AS,1
Biopolis S.L.,1
Amazentis SA,1
"Fujian Akeylink Biotechnology Co., Ltd.",1
Janssen-Cilag International NV,1
Oncolytics Biotech,1
Tilak Healthcare,1
Mylan Pharmaceuticals Inc,1
Polyphor Ltd.,1
WomenX Biotech Limited,1
Watson Pharmaceuticals,1
"Teva Branded Pharmaceutical Products R&D, Inc.",1
"OcuNexus Therapeutics, Inc.",1
Bio-Thera Solutions,1
"Taejoon Pharmaceutical Co., Ltd.",1
Société des Produits Nestlé (SPN),1
Fonterra Research Centre,1
Salena Killion,1
EmitBio Inc.,1
NanoBio Corporation,1
Sichuan Huiyang Life Science and Technology Corporation,1
Astellas Pharma S.A.S.,1
Power Life Sciences Inc.,1
OnPoint Vision Inc,1
"Caliway Biopharmaceuticals Co., Ltd.",1
Eisai Limited,1
Durect,1
"Daewon Pharmaceutical Co., Ltd.",1
"Otsuka Pharmaceutical Co., Ltd.",1
ThromboGenics,1
Innovent Biologics (Suzhou) Co. Ltd.,1
"Orexigen Therapeutics, Inc",1
Cell>Point LLC,1
MAAB (Shanghai) Medical Device Limited,1
Galderma R&D,1
"Thorne HealthTech, Inc",1
Galapagos NV,1
"Click Therapeutics, Inc.",1
"Genexine, Inc.",1
Braeburn Pharmaceuticals,1
Sun Pharmaceutical Industries Limited,1
JW Pharmaceutical,1
BeiGene,1
Atara Biotherapeutics,1
Photocure,1
"Interventional Spine, Inc.",1
"Advanced Tactile Imaging, Inc.",1
Stochastic Research Technologies LLC,1
Metabolic Technologies Inc.,1
BioMarin Pharmaceutical,1
Raziel Therapeutics Ltd.,1
Brainsway,1
Repos Pharma,1
Lophius Biosciences GmbH,1
Quidel Corporation,1
"Vivani Medical, Inc",1
Hansoh BioMedical R&D Company,1
"Bausch Health Americas, Inc.",1
"Jiangsu Tasly Diyi Pharmaceutical Co., Ltd.",1
Tivic Health Systems,1
Ungku Shahrin Medical Aesthetic Research & Innovation (USMARI) Centre,1
"O2 MedTech, Inc.",1
Darma Inc.,1
Philip Morris Products S.A.,1
"Progenity, Inc.",1
Celgene Corporation,1
Sana Biotechnology,1
Universal Diagnostics,1
Heartfelt Technologies,1
Marinomed Biotech AG,1
Emergent BioSolutions,1
Brabant Research,1
Mespere Lifesciences Inc.,1
The SmartPill Corporation,1
Arrowhead Pharmaceuticals,1
Dr. Horst Schmidt Klinik GmbH,1
Ophtec BV,1
American Medical Systems,1
Ribomic USA Inc,1
"Flossom (GD) Beauty Technology Co., Ltd.",1
"Endeavor Biomedicines, Inc.",1
Gregand Innovations,1
Biotronik SE & Co. KG,1
"DexCom, Inc.",1
Moe Medical Devices,1
Laboratorio Elea Phoenix S.A.,1
"Viking Therapeutics, Inc.",1
HDL Therapeutics,1
Indivior Inc.,1
EyeSonix,1
"Elira, Inc.",1
Genelux Corporation,1
UCB Biopharma SRL,1
Orthofix s.r.l.,1
"CytoDyn, Inc.",1
RUTI Immunotherapeutics S.L.,1
Cytokinetics,1
Ampio Pharmaceuticals. Inc.,1
Wave Neuroscience,1
Aesculap AG,1
"Renalytix AI, Inc.",1
Anthera Pharmaceuticals,1
"Sunshine Lake Pharma Co., Ltd.",1
Danisco,1
Amvac Kft.,1
Pierre Fabre Pharma GmbH,1
"Adlai Nortye Biopharma Co., Ltd.",1
Gubra A/S,1
"Cardialen, Inc.",1
RedHill Biopharma Limited,1
Akebia Therapeutics,1
"RZN Nutraceuticals, Inc.",1
Symyoo,1
Santen Inc.,1
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",1
Manina Medtech,1
"AlphaVax, Inc.",1
CTI BioPharma,1
Andromeda Biotech Ltd.,1
"Aimmune Therapeutics, Inc.",1
Hua Medicine Limited,1
"Optos, PLC",1
"PhageTech, Inc.",1
"Almirall, S.A.",1
"Presidio Pharmaceuticals, Inc.",1
CERESPIR,1
OrphAI Therapeutics,1
"Cara Therapeutics, Inc.",1
"OPKO Health, Inc.",1
Mymee Inc.,1
"Pharmazz, Inc.",1
Philips Clinical & Medical Affairs Global,1
Circassia Limited,1
iCell Gene Therapeutics,1
ADC Therapeutics S.A.,1
Physician Recommended Nutriceuticals,1
"Millennium Pharmaceuticals, Inc.",1
ContinUse Biometrics Ltd.,1
"Botec Analysis, LLC",1
Abbott Nutrition,1
Kind Lab PBC.,1
"Preceptis Medical, Inc.",1
"Aussie Bubs, Inc.",1
"Avinger, Inc.",1
GTx,1
Eucatech AG,1
MBX Biosciences,1
Guna S.p.a,1
Medigen Biotechnology Corporation,1
"Stiefel, a GSK Company",1
"Kura Oncology, Inc.",1
"Topcon Medical Systems, Inc.",1
"Mucosa Innovations, S.L.",1
"Esperion Therapeutics, Inc.",1
Fresenius Medical Care Deutschland GmbH,1
"MyoKardia, Inc.",1
Materia Medica Holding,1
Hutchmed,1
"Molecular Insight Pharmaceuticals, Inc.",1
INSYS Therapeutics Inc,1
FutureChem,1
Vascular Solutions LLC,1
POLYSAN Scientific & Technological Pharmaceutical Company,1
BackBeat Medical Inc,1
UCB Biopharma S.P.R.L.,1
Warner Chilcott,1
"Progenics Pharmaceuticals, Inc.",1
Dexa Medica Group,1
Dascena,1
"Cyprium Therapeutics, Inc.",1
PT. Sari Husada,1
Argos Therapeutics,1
"KalVista Pharmaceuticals, Ltd.",1
"DSM Nutritional Products, Inc.",1
3NT Medical Ltd.,1
Medtronic - MITG,1
Inovio Pharmaceuticals,1
Sinocelltech Ltd.,1
Celularity Incorporated,1
Heinz Italia SpA,1
"Humacyte, Inc.",1
Mylan Bertek Pharmaceuticals,1
ViiV Healthcare,1
"Ourotech, Inc.",1
NPO Petrovax,1
"Jacobio Pharmaceuticals Co., Ltd.",1
The Archer-Daniels-Midland Company,1
Cinnagen,1
Sino-Swed Pharmaceutical Corporation,1
Teva Takeda Pharma Ltd.,1
Janssen Pharmaceutical K.K.,1
"Hangzhou Endonom Medtech Co., Ltd.",1
Medicrea International,1
Hercules,1
